Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
4.8,56.73023,57.01471,53.62804,60.85168,60.32818,61.48997,60.51464,59.60322,61.42961,57.90961,68.33103,60.34141,1
4.9,56.73023,57.01471,53.62815,60.85372,60.32818,61.48997,60.51749,59.6034,61.42961,57.90961,68.31163,60.3386,1
5,56.72941,57.01334,53.62815,60.85372,60.32728,61.41639,60.51749,59.6034,61.49476,57.90486,68.31163,60.3386,1
5.1,56.72985,57.01334,53.62809,60.85589,60.32728,61.41639,60.51823,59.60211,61.42659,57.90486,68.30704,60.33765,1
5.2,56.72985,57.01274,53.62775,60.85589,60.32776,61.41631,60.51823,59.60211,61.42659,57.90233,68.30289,60.33765,1
5.3,56.73083,57.01274,53.62775,60.85824,60.32776,61.41631,60.51877,59.60264,61.49587,57.90233,68.30289,60.33717,1
5.4,56.73083,57.01181,53.62849,60.85824,60.3277,61.48968,60.51877,59.60264,61.49587,57.90021,68.30061,60.33664,1
5.5,56.72969,57.01181,53.62849,60.86508,60.3277,61.48968,60.52032,59.60283,61.49607,57.8983,68.30061,60.33664,1
5.6,56.72969,57.01083,53.62874,60.86784,60.32728,61.41533,60.52032,59.60283,61.49607,57.8983,68.30169,60.33616,1
5.7,56.72844,57.01214,53.62874,60.86784,60.32728,61.41533,60.52479,59.60283,61.42715,57.8978,68.3041,60.33616,1
5.8,56.72844,57.01214,53.63089,60.87377,60.32793,61.41533,60.52479,59.6027,61.42696,57.8978,68.3041,60.33653,1
5.9,56.72789,57.0128,53.63294,60.87377,60.32793,61.41509,60.52856,59.6027,61.42696,57.89712,68.30315,60.33653,1
6,56.72974,57.0128,53.63294,60.88519,60.32793,61.41509,60.52856,59.60246,61.49882,57.89712,68.30315,60.33593,1
6.1,56.72974,57.01438,53.63564,60.88519,60.32793,61.41418,60.52785,59.60246,61.49882,57.89663,68.30901,60.33647,1
6.2,56.73197,57.01438,53.63564,60.89526,60.32759,61.41418,60.52785,59.60317,61.42961,57.89685,68.30901,60.33647,1
6.3,56.73197,57.01482,53.63789,60.91175,60.32759,61.48648,60.52732,59.60317,61.42961,57.89685,68.31316,60.33647,1
6.4,56.73121,57.01777,53.63789,60.91175,60.32764,61.48648,60.52732,59.60223,61.50329,57.89808,68.31508,60.33647,1
6.5,56.73121,57.01777,53.64033,60.9126,60.32764,61.41376,60.52695,59.60223,61.50396,57.89808,68.31508,60.33629,1
6.6,56.73392,57.02308,53.64208,60.9126,60.3277,61.41376,60.52695,59.60358,61.50396,57.89808,68.31788,60.33629,1
6.7,56.73696,57.02308,53.64208,60.91581,60.3277,61.41411,60.52718,59.60358,61.5056,57.89808,68.31788,60.33681,1
6.8,56.73696,57.02752,53.64617,60.91581,60.32776,61.41411,60.52718,59.60375,61.5056,57.89808,68.31872,60.33706,1
6.9,56.73783,57.03058,53.64617,60.9262,60.32776,61.48613,60.52636,59.60375,61.50574,57.89897,68.31872,60.33706,1
7,56.73783,57.03058,53.64906,60.92771,60.32734,61.48613,60.52636,59.60294,61.43321,57.89897,68.31942,60.33706,1
7.1,56.738,57.03568,53.64906,60.92771,60.32734,61.41386,60.52707,59.60294,61.43321,57.89903,68.31942,60.33706,1
7.2,56.74082,57.03568,53.65171,60.93098,60.32787,61.41386,60.52707,59.60328,61.43278,57.89903,68.31942,60.33676,1
7.3,56.74082,57.03831,53.65501,60.93098,60.32787,61.48763,60.52622,59.60328,61.43278,57.89886,68.32082,60.33772,1
7.4,56.74213,57.03831,53.65501,60.93394,60.32764,61.48763,60.52622,59.60341,61.43278,57.89758,68.32082,60.33772,1
7.5,56.74213,57.03978,53.65666,60.94005,60.32764,61.48809,60.52647,59.60341,61.43278,57.89758,68.32018,60.33759,1
7.6,56.74299,57.04351,53.65666,60.94005,60.32837,61.48809,60.52647,59.60399,61.5066,57.89836,68.31974,60.33759,1
7.7,56.74299,57.04351,53.65841,60.94011,60.32837,61.48899,60.52611,59.60399,61.43393,57.89836,68.31974,60.33767,1
7.8,56.74299,57.04772,53.66086,60.94011,60.32789,61.48899,60.52611,59.60405,61.43393,57.89785,68.3189,60.33813,1
7.9,56.74251,57.04772,53.66086,60.93982,60.32789,61.41533,60.52611,59.60405,61.50456,57.89763,68.3189,60.33813,1
8,56.74251,57.04964,53.66171,60.94307,60.32776,61.41533,60.52582,59.60345,61.50456,57.89763,68.31711,60.33742,1
8.1,56.74479,57.05211,53.66171,60.94307,60.32776,61.4157,60.52582,59.60345,61.43205,57.8978,68.31711,60.33742,1
8.2,56.74479,57.05211,53.66426,60.9435,60.32776,61.4157,60.52582,59.60369,61.43205,57.8978,68.32018,60.33796,1
8.3,56.74544,57.05523,53.66272,60.9435,60.32835,61.49071,60.52582,59.60369,61.50349,57.89763,68.32057,60.33796,1
8.4,56.74984,57.05523,53.66272,60.93655,60.32835,61.49071,60.52563,59.60305,61.506,57.89763,68.32057,60.33725,1
8.5,56.74984,57.06098,53.6623,60.93655,60.32778,61.41613,60.52563,59.60305,61.506,57.89853,68.32223,60.33725,1
8.6,56.75196,57.06098,53.6623,60.92845,60.32778,61.41613,60.52498,59.60352,61.4334,57.89746,68.32223,60.33759,1
8.7,56.75196,57.06586,53.66421,60.93334,60.328,61.49181,60.52498,59.60352,61.4334,57.89746,68.32343,60.33759,1
8.8,56.7606,57.07605,53.66421,60.93334,60.328,61.49181,60.5254,59.6041,61.43389,57.89797,68.32343,60.33759,1
,,,,,,,,,,,,,
0.1,56.74832,57.05024,53.6664,60.98743,60.33431,61.50445,60.53055,59.60152,61.43644,57.90032,68.33862,60.34011,2
0.2,56.74832,57.0509,53.66731,60.98809,60.33431,61.43101,60.53438,59.60152,61.4364,57.90037,68.33773,60.34011,2
0.3,56.74924,57.05178,53.66731,60.98809,60.33515,61.43101,60.53438,59.60264,61.43634,57.90037,68.33773,60.34064,2
0.4,56.74924,57.05178,53.66806,60.97713,60.33515,61.4365,60.53755,59.60264,61.43634,57.90071,68.33843,60.34064,2
0.5,56.74794,57.05189,53.66776,60.97713,60.33593,61.4365,60.53755,59.60603,61.4365,57.90071,68.33843,60.33944,2
0.6,56.74821,57.05189,53.66776,60.97424,60.33593,61.50262,60.52845,59.60603,61.4365,57.90149,68.339,60.33992,2
0.7,56.74821,57.05369,53.6684,60.98077,60.33628,61.50262,60.52845,59.60574,61.5101,57.90009,68.339,60.33992,2
0.8,56.75055,57.05435,53.6684,60.98077,60.33628,61.41392,60.5263,59.60574,61.5101,57.90009,68.33907,60.34011,2
0.9,56.75055,57.05435,53.6712,60.98581,60.33676,61.41392,60.5263,59.60755,61.43661,57.89981,68.33907,60.34011,2
1,56.75125,57.05501,53.6723,60.98581,60.33676,61.47003,60.52456,59.60755,61.43656,57.89981,68.33862,60.34051,2
1.1,56.75245,57.05501,53.6723,60.99046,60.33676,61.47003,60.52456,59.6068,61.43656,57.90149,68.33844,60.34051,2
1.2,56.75245,57.05468,53.67501,60.99046,60.33676,61.41429,60.52396,59.6068,61.43664,57.90149,68.33844,60.3395,2
1.3,56.75261,57.05495,53.67501,60.99263,60.33616,61.41429,60.52396,59.60685,61.43664,57.90015,68.33869,60.3395,2
1.4,56.75261,57.05495,53.66846,60.96864,60.33616,61.41345,60.52314,59.60685,61.43681,57.90032,68.33869,60.33921,2
1.5,56.74071,57.00322,53.66846,60.96864,60.33616,61.41345,60.52314,59.60755,61.43681,57.90032,68.33945,60.34017,2
1.6,56.70232,57.00322,53.60244,60.76735,60.33664,61.46964,60.52318,59.60755,61.43652,57.90188,68.33945,60.34017,2
1.7,56.70232,56.9237,53.59461,60.76735,60.33664,61.46964,60.52318,59.60721,61.50851,57.90188,68.34003,60.34135,2
1.8,56.70243,56.9237,53.59461,60.7574,60.33658,61.41362,60.52318,59.60721,61.50851,57.90547,68.34572,60.34135,2
1.9,56.70243,56.92414,53.59402,60.75506,60.33658,61.41362,60.5236,59.60708,61.44055,57.90547,68.34572,60.34152,2
2,56.70292,56.92381,53.59402,60.75506,60.33628,61.46952,60.5236,59.60708,61.44055,57.90996,68.35879,60.34255,2
2.1,56.70292,56.92381,53.59422,60.7535,60.33628,61.46952,60.52402,59.60721,61.44231,57.91242,68.35879,60.34255,2
2.2,56.70162,56.92305,53.59441,60.7535,60.3361,61.46983,60.52402,59.60721,61.44231,57.91242,68.36754,60.34362,2
2.3,56.70335,56.92305,53.59441,60.7544,60.3361,61.46983,60.52415,59.60796,61.44329,57.91444,68.38193,60.34362,2
2.4,56.70335,56.92387,53.59432,60.7544,60.33605,61.41325,60.52415,59.60796,61.51229,57.91444,68.38193,60.34314,2
2.5,56.70379,56.92469,53.59432,60.75363,60.33605,61.41325,60.52396,59.60685,61.51229,57.91388,68.38332,60.34301,2
2.6,56.70379,56.92469,53.59467,60.75321,60.33645,61.41355,60.52396,59.60685,61.44569,57.91611,68.38332,60.34301,2
2.7,56.70395,56.92507,53.59467,60.75321,60.33645,61.41355,60.52427,59.60721,61.44569,57.91611,68.39356,60.34463,2
2.8,56.70563,56.92507,53.59456,60.75417,60.33599,61.47026,60.52427,59.60721,61.44721,57.91539,68.39356,60.34463,2
2.9,56.70563,56.92534,53.59472,60.75417,60.33599,61.47026,60.52368,59.60773,61.44721,57.91539,68.41855,60.34463,2
3,56.70612,56.92534,53.59472,60.7544,60.3361,61.41418,60.52368,59.60773,61.45245,57.91668,68.52521,60.34463,2
3.1,56.70612,56.92512,53.59566,60.75542,60.3361,61.41418,60.52528,59.60691,61.50458,57.91668,68.52521,60.34606,2
3.2,56.70492,56.92556,53.59566,60.75542,60.33561,61.47675,60.52528,59.60691,61.50458,57.91786,68.51527,60.34606,2
3.3,56.70492,56.92556,53.59496,60.755,60.33561,61.47675,60.52258,59.603,61.42897,57.91786,68.51527,60.34558,2
3.4,56.70498,56.9255,53.59501,60.755,60.33384,61.48601,60.52258,59.603,61.42897,57.91685,68.54586,60.34564,2
3.5,56.7053,56.9255,53.59501,60.75525,60.33384,61.48601,60.51559,59.60193,61.48448,57.91651,68.54586,60.34564,2
3.6,56.7053,56.92611,53.59566,60.75525,60.33182,61.48601,60.51559,59.60193,61.48448,57.91651,68.54169,60.34564,2
3.7,56.70552,56.92714,53.59566,60.7561,60.33182,61.41921,60.51284,59.60193,61.42741,57.91763,68.53617,60.34564,2
3.8,56.70552,56.92714,53.59731,60.77577,60.32991,61.41921,60.51284,59.60141,61.42618,57.91763,68.53617,60.34522,2
3.9,56.71334,56.97287,53.59731,60.77577,60.32991,61.41829,60.51314,59.60141,61.42618,57.9164,68.5318,60.34583,2
4,56.73273,56.97287,53.61008,60.84847,60.3293,61.41829,60.51314,59.60077,61.42567,57.91645,68.5318,60.34583,2
4.1,56.73273,56.99764,53.61667,60.84847,60.3293,61.49374,60.51272,59.60077,61.42567,57.91645,68.53091,60.34558,2
4.2,56.73191,56.99764,53.61667,60.85427,60.32854,61.49374,60.51272,59.60223,61.42563,57.91629,68.53617,60.34558,2
4.3,56.73191,57.00059,53.61686,60.86041,60.32854,61.41838,60.51109,59.60223,61.42592,57.91629,68.53617,60.346,2
4.4,56.73039,57.00262,53.61686,60.86041,60.32806,61.41838,60.51109,59.60118,61.42592,57.91685,68.53528,60.346,2
4.5,56.73039,57.00262,53.61657,60.86272,60.32806,61.41772,60.51182,59.60118,61.42592,57.91685,68.53528,60.34581,2
4.6,56.73028,57.0024,53.61642,60.86272,60.32835,61.41772,60.51182,59.60199,61.4258,57.91673,68.53463,60.34516,2
4.7,56.73061,57.0024,53.61642,60.86344,60.32835,61.49415,60.51207,59.60199,61.42518,57.91578,68.53463,60.34516,2
4.8,56.73061,57.0053,53.61707,60.86344,60.32764,61.49415,60.51207,59.60124,61.42518,57.91578,68.53924,60.34612,2
4.9,56.73083,57.0071,53.61707,60.86761,60.32764,61.49242,60.51241,59.60124,61.42451,57.91629,68.53566,60.34612,2
5,56.73083,57.0071,53.61777,60.87128,60.32734,61.49242,60.51241,59.60165,61.42324,57.91629,68.53566,60.3453,2
5.1,56.73197,57.00792,53.61777,60.87128,60.32734,61.41662,60.51163,59.60165,61.42324,57.91623,68.5277,60.34654,2
5.2,56.73197,57.00792,53.61906,60.87304,60.32837,61.41662,60.51163,59.60147,61.42348,57.91606,68.5277,60.34654,2
5.3,56.73311,57.00765,53.62031,60.87304,60.32837,61.4146,60.51104,59.60147,61.42348,57.91606,68.52214,60.34583,2
5.4,56.7318,57.00765,53.62031,60.87437,60.32751,61.4146,60.51104,59.60064,61.47901,57.91567,68.5015,60.34583,2
5.5,56.7318,57.01449,53.6237,60.87437,60.32751,61.4863,60.51098,59.60064,61.42273,57.91567,68.5015,60.34486,2
5.6,56.73474,57.01925,53.6237,60.88233,60.32751,61.4863,60.51098,59.59971,61.42273,57.9155,68.45923,60.34486,2
5.7,56.73474,57.01925,53.62595,60.88916,60.32698,61.41224,60.5102,59.59971,61.48411,57.91382,68.45923,60.34446,2
5.8,56.73523,57.02112,53.62595,60.88916,60.32698,61.41224,60.5102,59.6006,61.48411,57.91382,68.32917,60.34207,2
5.9,56.73615,57.02112,53.62779,60.89304,60.32686,61.41179,60.5102,59.6006,61.48875,57.91062,68.32917,60.34207,2
6,56.73615,57.02254,53.62989,60.89304,60.32686,61.41179,60.50949,59.60088,61.48875,57.91062,68.3078,60.34045,2
6.1,56.73609,57.02254,53.62989,60.90137,60.32747,61.41032,60.50949,59.60088,61.49071,57.90654,68.30653,60.34045,2
6.2,56.73609,57.02544,53.63234,60.90959,60.32747,61.41032,60.51002,59.60088,61.4925,57.90654,68.30653,60.33939,2
6.3,56.73789,57.02735,53.63234,60.90959,60.32686,61.48122,60.51002,59.60088,61.4925,57.90446,68.30793,60.33927,2
6.4,56.73789,57.02735,53.63563,60.92759,60.32686,61.48122,60.50985,59.60042,61.42621,57.9011,68.30793,60.33927,2
6.5,56.73984,57.03064,53.64083,60.92759,60.32741,61.41067,60.50985,59.60042,61.42621,57.9011,68.31311,60.33838,2
6.6,56.74055,57.03064,53.64083,60.93448,60.32741,61.41067,60.50884,59.60023,61.49697,57.89953,68.31705,60.33838,2
