Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
4.8,56.55163,57.9654,55.17578,60.61834,60.0534,61.48097,58.21471,59.3174,61.74304,58.03171,68.21629,60.43638,1
4.9,56.55163,57.9654,55.17448,60.6181,60.05186,61.48097,58.21471,59.31711,61.74312,58.03154,68.21629,60.43638,1
5,56.55071,57.96394,55.17448,60.6181,60.05186,61.48166,58.21398,59.31711,61.74416,58.03154,68.21362,60.438,1
5.1,56.54806,57.96394,55.17489,60.61516,60.05233,61.48166,58.21398,59.31666,61.74416,58.03148,68.21133,60.438,1
5.2,56.54806,57.95272,55.17427,60.61516,60.05233,61.48073,58.21386,59.31666,61.74405,58.03148,68.21133,60.43649,1
5.3,56.54617,57.95272,55.17427,60.61174,60.05328,61.48073,58.21386,59.31759,61.74405,58.03081,68.21043,60.43649,1
5.4,56.54617,57.94481,55.1727,60.61145,60.05328,61.48093,58.21218,59.31759,61.74576,58.03176,68.21043,60.43649,1
0.1,56.65193,57.89466,55.19048,60.62266,60.05553,61.48636,58.20816,59.31072,61.75308,58.03193,68.23284,60.43762,2
0.2,56.65193,57.89466,55.18563,60.59862,60.05553,61.48589,58.20963,59.31072,61.75308,58.03193,68.2373,60.43733,2
0.3,56.64673,57.89304,55.18563,60.59862,60.0573,61.48589,58.20963,59.31079,61.75841,58.03187,68.2373,60.43733,2
0.4,56.64884,57.89304,55.18656,60.60642,60.0573,61.48595,58.21002,59.31079,61.76475,58.03187,68.24342,60.43662,2
0.5,56.64884,57.89735,55.19329,60.60642,60.05559,61.48595,58.21002,59.3113,61.76475,58.0317,68.24896,60.43662,2
0.6,56.65356,57.89735,55.19329,60.62357,60.05559,61.48563,58.20946,59.3113,61.76501,58.0317,68.24896,60.43649,2
0.7,56.65356,57.89976,55.19246,60.62357,60.05731,61.48563,58.20946,59.31084,61.76501,58.03164,68.25145,60.43649,2
0.8,56.65486,57.90441,55.19246,60.62148,60.05731,61.48538,58.20946,59.31084,61.76698,58.03164,68.25145,60.43643,2
0.9,56.65486,57.90441,55.19349,60.62944,60.05731,61.48538,58.20946,59.31066,61.76698,58.03165,68.25176,60.43638,2
1,56.66071,57.91337,55.19349,60.62944,60.05718,61.48589,58.20946,59.31066,61.76716,58.03238,68.25176,60.43638,2
1.1,56.66071,57.91337,55.19495,60.64631,60.05718,61.48589,58.20845,59.31044,61.76716,58.03238,68.25496,60.43703,2
1.2,56.66776,57.92402,55.19495,60.64631,60.05695,61.48589,58.20845,59.31044,61.76809,58.03165,68.25496,60.43703,2
1.3,56.67611,57.92402,55.21857,60.72479,60.05695,61.48589,58.20822,59.31183,61.76809,58.03165,68.31711,60.43681,2
1.4,56.67611,57.93062,55.22603,60.72479,60.05743,61.48595,58.20822,59.31183,61.77843,58.03081,68.3611,60.43681,2
1.5,56.67904,57.93062,55.22603,60.73905,60.05743,61.48595,58.21008,59.31218,61.78572,58.03081,68.3611,60.43666,2
