elapsed_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial,label
0.1,1.0018445104239597,1.0001083469674255,1.0003106693910353,1.0006569588435674,1.0000129892449052,1.0000117112055742,1.000054292976585,1.0002074132182253,1.0003998831285275,1.000007754540197,1.0006387586180003,1.0000195251645452,1,not pressed
0.2,1.0018445104239597,1.0002806307417844,1.0003909649220906,1.0006569588435674,1.0000164863493026,1.0000117112055742,1.000054292976585,1.0002102799049812,1.000384820702058,1.00000878847889,1.000586420581134,1.0000195251645452,1,not pressed
0.3,1.0018338996257394,1.0002806307417844,1.0003909649220906,1.0008857964804574,1.0000164863493026,1.0,1.000029380060114,1.0002102799049812,1.0003976156664782,1.00000878847889,1.000586420581134,1.000006949634838,1,not pressed
0.4,1.0018338996257394,1.0002806307417844,1.000343838876776,1.0006208005156607,1.0000058285073292,1.0,1.000029380060114,1.000217193678922,1.0003976156664782,1.0,1.0005938974435433,1.000006949634838,1,not pressed
0.5,1.0017955239055094,1.0002118554737855,1.000343838876776,1.0006208005156607,1.0000058285073292,1.000033832371659,1.0000465613818181,1.000217193678922,1.000398587435928,1.0000049973703493,1.0005938974435433,1.0000087697772957,1,not pressed
0.6,1.0018022440777157,1.0002118554737855,1.0003012441819725,1.0005425400251227,1.0,1.000033832371659,1.0000465613818181,1.000217193678922,1.000398587435928,1.0000049973703493,1.000587446817151,1.0,1,not pressed
0.7,1.0018022440777157,1.0002242972308106,1.0003239009345275,1.0005425400251227,1.0,1.0000375734512175,1.0,1.000217193678922,1.0003887077798566,1.0000106840331604,1.000587446817151,1.0,1,not pressed
0.8,1.001854060142358,1.0002242972308106,1.0003239009345275,1.0006680209804157,1.0000076603239183,1.0000375734512175,1.0,1.0002151701353295,1.0003887077798566,1.0000106840331604,1.0006208727902757,1.0000107553872495,1,not pressed
0.9,1.001854060142358,1.000369451062768,1.0004194218032998,1.0010059940271065,1.0000076603239183,1.0000577427497066,1.000012714178061,1.0002151701353295,1.000390651318756,1.0000174046346646,1.000587446817151,1.0000107553872495,1,not pressed
1.0,1.0019067604401855,1.0004304502326264,1.0004194218032998,1.0010059940271065,1.0000532892098675,1.0000577427497066,1.000012714178061,1.0002465350610124,1.0004165651707464,1.0000174046346646,1.000587446817151,1.0000277985393522,1,not pressed
1.1,1.0019067604401855,1.0004304502326264,1.0004487849546113,1.0008829896696152,1.0000532892098675,1.0000585560278714,1.0000408915456558,1.0002465350610124,1.0004165651707464,1.0000136135261237,1.0006902170239946,1.0000322661617482,1,not pressed
1.2,1.0018464557369668,1.0003210664521154,1.0003135694553624,1.0008829896696152,1.0000729396060062,1.0000585560278714,1.0000408915456558,1.0002640724388137,1.0004536543714078,1.0000079268633126,1.0006902170239946,1.0000322661617482,1,not pressed
1.3,1.001744768920689,1.0003210664521154,1.0003135694553624,1.0005039050994138,1.0000729396060062,1.0000727070679403,1.0000632272638712,1.0002640724388137,1.0004536543714078,1.0000079268633126,1.000726575100025,1.0000264747993832,1,not pressed
1.4,1.001744768920689,1.0001335760858372,1.0002332739243072,1.0005039050994138,1.0000917573582406,1.0000727070679403,1.0000632272638712,1.0002593508370978,1.0003995592053776,1.0000435977482194,1.0009319689085672,1.0000264747993832,1,not pressed
1.5,1.0016595288416528,1.000010713735216,1.0002332739243072,1.0002473295671435,1.0000917573582406,1.0000834423397167,1.0000747387494129,1.0002593508370978,1.0005186009629587,1.0000435977482194,1.0009319689085672,1.000054107871239,1,not pressed
1.6,1.0016595288416528,1.000010713735216,1.000166209936744,1.0,1.000103414372899,1.0000834423397167,1.0000747387494129,1.0002778999866953,1.0005186009629587,1.0000446316869123,1.0021508440864542,1.000054107871239,1,not pressed
1.7,1.0016059443106404,1.0,1.000166209936744,1.0,1.000103414372899,1.0000707552003445,1.000058244680577,1.0002778999866953,1.0005927793642815,1.0000446316869123,1.0021508440864542,1.0000463308989205,1,not pressed
1.8,1.0016499791232547,1.0,1.0002040920270163,1.000179305680853,1.000124896585627,1.0000707552003445,1.000058244680577,1.0003170218294823,1.0005927793642815,1.000029122606518,1.002315628269753,1.000035575511671,1,not pressed
1.9,1.0016499791232547,1.0001304656465808,1.000343838876776,1.000179305680853,1.000124896585627,1.000148341937274,1.0000903737521636,1.0003170218294823,1.000620636755171,1.0000058589859266,1.002315628269753,1.000035575511671,1,not pressed
2.0,1.0018041893907228,1.0001304656465808,1.000343838876776,1.0006325230785893,1.000163697791562,1.000148341937274,1.0000903737521636,1.0002212407661069,1.000620636755171,1.0000058589859266,1.0023887842372492,1.0000433524839898,1,not pressed
2.1,1.0018041893907228,1.0003646126017027,1.0004505974948157,1.0009711565513606,1.000163697791562,1.0001973012827998,1.0000164940688359,1.0002212407661069,1.000634403489041,1.0000098224175828,1.0026566318376822,1.0000433524839898,1,not pressed
2.2,1.0019221460976049,1.0005640263184634,1.0004505974948157,1.0009711565513606,1.0001675279535212,1.0001973012827998,1.0000164940688359,1.0000408081291143,1.0006525431854343,1.0000098224175828,1.0026566318376822,1.0000445107564628,1,not pressed
2.3,1.0020179969748615,1.0005640263184634,1.0005290804856666,1.0011752282102322,1.0001675279535212,1.0002012050179914,1.0000164940688359,1.0000408081291143,1.0006525431854343,1.0000146474648168,1.0032546342252937,1.0000445107564628,1,not pressed
2.4,1.0020179969748615,1.0006782485600394,1.0006131823511508,1.0011752282102322,1.0001675279535212,1.0002012050179914,1.0000195867067427,1.0000320394402136,1.0013191770278884,1.0000146474648168,1.0032546342252937,1.0000268057343753,1,not pressed
2.5,1.002144619166957,1.0006782485600394,1.0006131823511508,1.0015886549366189,1.0001713581154803,1.000196162693369,1.0000195867067427,1.0000320394402136,1.0013191770278884,1.0000037911085409,1.0054647067904423,1.000049309313851,1,pressed
2.6,1.002144619166957,1.0008990897472319,1.0008143743138402,1.0021879916046637,1.0001713581154803,1.000196162693369,1.0000012026925194,1.000039121842787,1.0034003832658709,1.0000136135261237,1.0054647067904423,1.000049309313851,1,pressed
2.7,1.0023124466254745,1.001011238362637,1.0008143743138402,1.0021879916046637,1.0001753548062204,1.0002052714088157,1.0000012026925194,1.000039121842787,1.0034003832658709,1.0000136135261237,1.006417640234785,1.000062877648535,1,pressed
2.8,1.0023124466254745,1.001011238362637,1.0008872384300573,1.0024024649743029,1.0001753548062204,1.0002052714088157,1.00002147665213,1.000028498238927,1.0035936034247745,1.0000446316869123,1.0069200560676719,1.000062877648535,1,pressed
2.9,1.002373812408515,1.0010964298378218,1.0008872384300573,1.0024024649743029,1.0001813498423304,1.0002121029454007,1.00002147665213,1.000028498238927,1.0036867313303652,1.0000446316869123,1.0069200560676719,1.0000708200883497,1,pressed
3.0,1.002373812408515,1.0010964298378218,1.0009127952469394,1.002567406387905,1.0001813498423304,1.0002121029454007,1.000025428356122,1.000044855216299,1.0036867313303652,1.0000251591748617,1.0070999405809347,1.0000580790911466,1,pressed
3.1,1.0024236831601505,1.0011216589562335,1.0009156953112666,1.002567406387905,1.0001841808316048,1.0002121029454007,1.000025428356122,1.000044855216299,1.0036938576396628,1.0000251591748617,1.0070999405809347,1.0000580790911466,1,pressed
3.2,1.0024908848822123,1.0011216589562335,1.0009156953112666,1.002786667846628,1.0001841808316048,1.0002121029454007,1.000033847203757,1.000008600060268,1.0036938576396628,1.0000456656256052,1.0070934899545423,1.0000580790911466,1,pressed
