elapsed_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial,category,label
0.1,1.0005318739137226,1.000906356821558,1.000835808174885,1.002962105641119,1.0000117909331376,1.000019665152829,1.0003909808868006,1.0005431578423418,1.0001141401514777,1.0000493503356167,1.0005241539176002,1.0007875125104835,1,coin,coin not pressed
0.2,1.0005318739137226,1.0005068774849966,1.0001850639651355,1.002962105641119,1.0000503190526864,1.000019665152829,1.0003909808868006,1.000547025529764,1.0001141401514777,1.000055217158732,1.0004986711621764,1.0008021329959103,1,coin,coin not pressed
0.3,1.000303221141511,1.0005068774849966,1.0001850639651355,1.0017756792827186,1.0000503190526864,1.0000245408105553,1.000436177147408,1.000547025529764,1.0001029689877161,1.00004158542267,1.0004986711621764,1.0008021329959103,1,coin,coin not pressed
0.4,1.000303221141511,1.000193734423352,1.0000450304010122,1.0007138359424814,1.000129202056073,1.0000245408105553,1.000436177147408,1.0005460165678277,1.0001029689877161,1.00004158542267,1.0004213441802,1.0001875741823494,1,coin,coin not pressed
0.5,1.0001682205866658,1.0000616190349205,1.0000450304010122,1.0007138359424814,1.000129202056073,1.000051681971898,1.0005298929230797,1.0005460165678277,1.0000733411186091,1.0000560799268372,1.000335230041181,1.0001875741823494,1,coin,coin not pressed
0.6,1.0001682205866658,1.0000616190349205,1.0000018305041063,1.000170125949306,1.000221038478963,1.000051681971898,1.0005298929230797,1.0005665321271977,1.0000953596442843,1.0000560799268372,1.000335230041181,1.0007619266609868,1,coin,coin not pressed
0.7,1.0000832267818482,1.000014447400843,1.0,1.000170125949306,1.000221038478963,1.000066633988925,1.0010265533015952,1.0005665321271977,1.0000953596442843,1.0000474522457854,1.0001959536020533,1.0007619266609868,1,coin,coin not pressed
0.8,1.0000182003365825,1.000014447400843,1.0,1.000023596518672,1.0003057339141779,1.000066633988925,1.0010265533015952,1.0005734267004287,1.0000569891252769,1.0000541818370057,1.0001959536020533,1.0001686340080465,1,coin,coin not pressed
0.9,1.0000182003365825,1.0,1.000015010133671,1.0,1.0003057339141779,1.0001093772549916,1.0003818419370452,1.0005734267004287,1.0000569891252769,1.0000541818370057,1.0001129149679995,1.0007401620747267,1,coin,coin not pressed
1.0,1.0,1.0,1.000015010133671,1.0,1.00035306371621,1.0001093772549916,1.0003818419370452,1.0005579559507398,1.0000212090210547,1.000037616689386,1.0001129149679995,1.0007401620747267,1,coin,coin not pressed
1.1,1.0,1.0000482160245001,1.0000404541407468,1.000067159322374,1.00035306371621,1.0001501702579678,1.0000573261393737,1.0005579559507398,1.0000212090210547,1.000037616689386,1.0000420319011878,1.0001568379345773,1,coin,coin not pressed
1.2,1.000075451880784,1.000164839621666,1.0000404541407468,1.000067159322374,1.0004263003572487,1.0001501702579678,1.0000573261393737,1.0004205689670886,1.0000169995970285,1.0000338205097234,1.0000288511656237,1.0001568379345773,1,coin,coin not pressed
1.3,1.000075451880784,1.000164839621666,1.000136372555911,1.0004412383981034,1.0004263003572487,1.000197464137912,1.0000473563760044,1.0004205689670886,1.0,1.0000338205097234,1.0000288511656237,1.000731024271335,1,coin,coin not pressed
1.4,1.000309935828794,1.000494344799928,1.0003862363664056,1.0004412383981034,1.0004263003572487,1.000197464137912,1.0000473563760044,1.000087107047162,1.0,1.0000396873328385,1.0000120091146252,1.0001588316371355,1,coin,coin not pressed
1.5,1.0006419594447025,1.000494344799928,1.0003862363664056,1.001794160472168,1.0005081726112899,1.0,1.0000473563760044,1.000087107047162,1.0000061522351151,1.0000222594171138,1.0000120091146252,1.0001588316371355,1,coin,coin not pressed
1.6,1.0006419594447025,1.001045260747735,1.0009853603603605,1.001794160472168,1.0005081726112899,1.0,1.0001184740213722,1.0,1.0000089045508245,1.0000222594171138,1.0,1.0001480324149454,1,coin,coin not pressed
1.7,1.0008476409183147,1.0012489168800995,1.0009853603603605,1.003356976054979,1.0005558345522831,1.000098650807994,1.0001184740213722,1.0,1.0000089045508245,1.0000193260055563,1.0000493545320568,1.0001480324149454,1,coin,coin not pressed
1.8,1.0008476409183147,1.0012489168800995,1.0014107695146381,1.0038793996781634,1.0005558345522831,1.000098650807994,1.0001384135481108,1.000087107047162,1.0000169995970285,1.0000193260055563,1.0000493545320568,1.0001568379345773,1,coin,coin not pressed
1.9,1.0009540157010592,1.0013087952643163,1.0014107695146381,1.0038793996781634,1.0005940305328704,1.000110352386537,1.0001384135481108,1.000087107047162,1.0000169995970285,1.0000483150138906,1.0000840638023758,1.0007531211413547,1,coin,coin not pressed
2.0,1.001134958853103,1.0013087952643163,1.0019099479843954,1.0042077708121295,1.0005940305328704,1.000110352386537,1.0001254528557308,1.0001057728429825,1.0000822456694336,1.000045381602333,1.0000840638023758,1.0007531211413547,1,coin,coin not pressed
2.1,1.001134958853103,1.001665106463419,1.0029189218477255,1.0042077708121295,1.000613958870568,1.0001266045789576,1.0001254528557308,1.0001057728429825,1.0001368062808491,1.000045381602333,1.0002445758710232,1.000182423784074,1,coin,coin not pressed
2.2,1.0021119458527619,1.001665106463419,1.0029189218477255,1.0050658260365637,1.000613958870568,1.0001266045789576,1.000117643207758,1.000104763881046,1.0001368062808491,1.000028126240229,1.0003249783579644,1.000182423784074,1,coin,coin not pressed
2.3,1.0021119458527619,1.0054290895456868,1.0069167428156376,1.0094344822032746,1.0005991786867756,1.0000656588573797,1.000117643207758,1.000104763881046,1.0001468441381423,1.000028126240229,1.0003249783579644,1.0007775439976925,1,coin,coin not pressed
