elapsed_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial,category,label
0.1,0.17320578381242058,0.20190476190475692,0.6540718259989831,0.07877793788513543,0.7574334898290545,0.9685990338166448,0.7396855545003405,0.6015523932728684,0.9622145037363907,0.29130434782564407,0.9546492229343926,1.0,1,card_key,not pressed
0.2,0.1743960500793662,0.2054008438818471,0.6540718259989831,0.07877793788513543,0.917057902974193,0.9553140096613788,0.7396855545003405,0.6015523932728684,0.9622145037363907,0.19565217391209444,0.9864342786899556,1.0,1,card_key,not pressed
0.3,0.1743960500793662,0.2054008438818471,0.6614567526555106,0.08559953398534503,0.917057902974193,0.9553140096613788,0.772501846575949,0.5562742561442064,0.9953689085360793,0.19565217391209444,0.9864342786899556,0.58203125,1,card_key,not pressed
0.4,0.18616646094164935,0.21477998794455289,0.6927162367223332,0.08559953398534503,0.8779342723009904,0.9263285024144352,0.772501846575949,0.5562742561442064,0.9953689085360793,0.6608695652175811,1.0,0.863281249996362,1,card_key,not pressed
0.5,0.2063128196085131,0.21477998794455289,0.6927162367223332,0.1095594321979263,0.8779342723009904,0.9263285024144352,0.7954521473039904,0.5265200517469566,0.9907378170719312,0.26956521738975425,1.0,0.863281249996362,1,card_key,not pressed
0.6,0.2063128196085131,0.23076552139843898,0.7365705614568014,0.15022840849862007,0.7777777777773736,0.9408212560374523,0.7954521473039904,0.5265200517469566,0.9907378170719312,0.26956521738975425,0.9887171832469903,0.65625,1,card_key,not pressed
0.7,0.22716452124845432,0.24376130198916712,0.7365705614568014,0.15022840849862007,0.7777777777773736,0.9408212560374523,0.7668566001899535,0.5265200517469566,0.9981054625828847,0.5130434782586235,0.9765563262797627,0.65625,1,card_key,not pressed
0.8,0.22716452124845432,0.24376130198916712,0.7594334850784321,0.17828126437133562,0.834115805948386,0.9408212560374523,0.7668566001899535,0.5265200517469566,0.9960004210083753,0.5130434782586235,0.9765563262797627,0.51171875,1,card_key,not pressed
0.9,0.24801622288839553,0.25463532248340925,0.7807283763278292,0.17828126437133562,0.834115805948386,1.0,0.7828954310435847,0.5265200517469566,0.9960004210083753,0.4869565217377385,0.9638686451839362,0.51171875,1,card_key,not pressed
1.0,0.2779932992417571,0.25463532248340925,0.7807283763278292,0.21254253916669086,0.9248826291095611,1.0,0.7828954310435847,0.48900388098445546,0.9764235343649261,0.5347826086945133,0.9638686451839362,0.394531249996362,1,card_key,not pressed
1.1,0.2779932992417571,0.28149487643162274,0.825392008093047,0.21254253916669086,0.9248826291095611,0.9782608695650197,0.8663606626569162,0.48900388098445546,0.9764235343649261,0.5347826086945133,0.9675564140837878,0.58203125,1,card_key,not pressed
1.2,0.340592488097343,0.28149487643162274,0.825392008093047,0.2920256308060232,1.0,0.9782608695650197,0.8663606626569162,0.4126778783966074,1.0,0.5608695652153983,0.9675564140837878,0.58203125,1,card_key,not pressed
1.3,0.340592488097343,0.3325376732971961,0.8814365199797294,0.43104822638501616,1.0,0.341787439613654,0.8192993563363871,0.4126778783966074,1.0,0.5608695652153983,0.9805075072438285,0.58203125,1,card_key,not pressed
1.4,0.40777640627754863,0.3821097046413229,0.8814365199797294,0.43104822638501616,0.5273865414710599,0.341787439613654,0.8192993563363871,0.5109961190173635,0.998736975055408,0.3869565217391937,0.9636491351303107,0.58203125,1,card_key,not pressed
1.5,0.4476282842532555,0.3821097046413229,0.9308548305513114,0.4941748168133131,0.5273865414710599,0.27536231884096196,0.837132003798672,0.5109961190173635,0.9868434901590035,0.3869565217391937,0.9636491351303107,0.437500000003638,1,card_key,not pressed
1.6,0.4476282842532555,0.3958047016274975,0.9647951441578471,0.4941748168133131,0.5633802816901152,0.27536231884096196,0.837132003798672,0.39715394566701434,0.9868434901590035,0.31739130434652907,0.8720256387742893,0.437500000003638,1,card_key,not pressed
1.7,0.508375947804609,0.3958047016274975,0.9647951441578471,0.5330962381580235,0.5633802816901152,0.32729468598972744,0.8240476944180841,0.39715394566701434,0.7962319755814633,0.3652173913033039,0.8720256387742893,0.48828125,1,card_key,not pressed
1.8,0.508375947804609,0.4381675708258115,1.0,0.5330962381580235,0.572769953052557,0.32729468598972744,0.8240476944180841,0.39715394566701434,0.7962319755814633,0.3652173913033039,0.481868469575943,0.394531249996362,1,card_key,not pressed
1.9,0.5208517016399412,0.4381675708258115,1.0,0.6400190084925015,0.572769953052557,0.7041062801936278,0.6971087897013604,0.39715394566701434,0.27976002526054344,0.19130434782709926,0.481868469575943,0.394531249996362,1,card_key,not pressed
2.0,0.5208517016399412,0.5137793851717731,0.9676783004552476,0.7052304013244424,0.46322378716649837,0.7041062801936278,0.6971087897013604,0.5420439844765497,0.10577833912213919,0.19130434782709926,0.2809289665466963,0.562499999996362,1,card_key,not pressed
2.1,0.5297566566743512,0.561157323688974,0.9676783004552476,0.7052304013244424,0.46322378716649837,0.8466183574864772,0.49108367626888594,0.5420439844765497,0.10577833912213919,0.0,0.2034419176398501,0.562499999996362,1,card_key,not pressed
2.2,0.5297566566743512,0.561157323688974,0.9403136064744899,0.7866603305025137,0.6760563380285021,0.8466183574864772,0.49108367626888594,0.6248382923677127,0.06746658246504467,0.0,0.2034419176398501,0.69921875,1,card_key,not pressed
2.3,0.6374096279316461,0.8553104279686465,0.9534648457258754,0.7866603305025137,0.6760563380285021,0.9553140096613788,0.5175688509021938,0.6248382923677127,0.06746658246504467,0.6608695652175811,0.10940381069457317,0.69921875,1,card_key,not pressed
